15.,"Recommendation No. R (95) 15 states that its technical appendix, the Guide, will be regularly updated to ensure it reflects scientific progress. This task was assigned to the European Committee on Blood Transfusion (CD-P-TS), a steering committee pursuing activities in the field of blood transfusion, directly answerable to the Committee of Ministers of the Council of Europe. In fulfilling this task, the CD-P-TS establishes the ‘GTS - an ad hoc Working Group’ (GTS) tasked to prepare the new edition of the Guide. The European Directorate for the Quality of Medicines & HealthCare of the Council of Europe (EDQM) is in charge of the scientific secretariat for these activities. The Guide provides technical guidelines for the preparation, use and quality assurance of blood and blood components, collating the most up-to-date scientific information to provide a comprehensive overview of the most recent advances in the field and to provide technical standards aimed at ensuring the quality, safety and efficacy of blood and blood components. In addition, the Guide provides 14 Foreword guiding ethical principles to be considered for the donation of blood and blood components. Where blood or blood components are the starting material for products covered by other legislative frameworks (e.g. medicinal products, medical devices), the Guide standards extend to the donation, collection and testing of blood and blood components. In respect of plasma derived medicinal products, technical matters are addressed by the European Pharmacopoeia, while the European Union has a substantial body of legislation covering medicinal products and medical devices. Whereas blood establishments in EU member states are required to comply with legislation derived from the European Commission directives, this Guide is intended to facilitate ongoing improvements to the preparation, use and quality assurance of blood components through the provision of non-binding recommendations. The Guide therefore provides additional information and guidance on best practices consistent with current scientific knowledge and expert opinion. Further to this, the Guide includes the Good Practice Guidelines (GPG) which provide standards for the implementation of quality systems in blood establishments and, where applicable, hospital blood banks. In accordance with European Commission Directive (EU) 2016/1214, the GPG should be taken into account by EU member states in the implementation of quality systems in blood establishments. The 22nd Edition The 22nd edition of the Guide was elaborated over a two-year period by a GTS working group and introduces a number of updates, including a complete review of all chapters, a complete revision of the chapter on Hemovigilance, and the creation of two new chapters on Blood components for topical use or injection and on Blood supply emergency and contingency planning. The main changes compared to the previous edition relate to donor selection criteria (CreutzfeldtJakob disease, malaria, blood pressure and pulse, plasmapheresis, 15 Guide to the preparation, use and quality assurance of blood components iron stores, donors age and insulin), along with standardisation of terminology. Changes included in the 22nd edition of the Guide are documented in a change log accompanied by background documents that detail the scientific rationale behind the changes made and decisions taken. Both the change log and background documents are published alongside this 22nd edition of the Guide. The 22nd edition of the Guide refers to Directives 2002/98/EC1 and 2004/23/EC2, which remain in force until 7 August 2027, in accordance with the transitional provisions of Regulation (EU) 2024/19383 of the European Parliament and Council of 13 June 2024, concerning quality and safety standards for substances of human origin. Acknowledgments The elaboration of the 22nd edition of the Guide would not have been possible without the outstanding contributions of the members of the GTS working group, composed of internationally recognised experts nominated by the Council of Europe member states and observers to prepare this Guide. Special thanks go to all those experts for their valuable contributions and to Betina Sørenson, the Chair of the GTS, for her dedication. This expert group has made an outstanding contribution by sharing their expertise, reviewing the literature and extracting and collating knowledge from numerous international guidelines, collaborative projects and websites, with the aim of ensuring that all of this up-to-date information is made available and accessible to professionals and regulators. A detailed list showing the composition of the GTS is included in the Guide. 1 Directive 2002/98/EC of the European Parliament and of the Council of 27 January 2003 setting standards of quality and safety for the collection, testing, processing, storage and distribution of human blood and blood components and amending Directive 2001/83/EC 2 Directive 2004/23/EC of the European Parliament and of the Council of 31 March 2004 on setting standards of quality and safety for the donation, procurement, testing, processing, preservation, storage and distribution of human tissues and cells 3 Regulation (EU) 2024/1938 of the European Parliament and of the Council of 13 June 2024 on standards of quality and safety for substances of human origin intended for human application and repealing Directives 2002/98/EC and 2004/23/EC 16 Foreword Furthermore, EDQM warmly thank all participants of the stakeholder consultation, who provided many constructive comments. The drafting and publication of the 22nd edition of the Guide was coordinated within the EDQM by Rada M. Grubovic Rastvorceva and Richard Forde, assisted by Nevena Kojic and supported by Mirela Busic, Louise Birrell, Sara Chauvin, David Le-Tallec and Alice Eleuterio. We take this opportunity to honour the blood donors for valuable act of solidarity through blood donation. 17 European Committee (Partial Agreement) on Blood Transfusion (CD‑P‑TS) Composition of the Committee as of 4 November 2024 Secretariat ______________________________________________ Forde Richard Kojic Nevena European Directorate for the Quality European Directorate for the Quality of Medicines & HealthCare of Medicines & HealthCare Intergovernmental Committees and Intergovernmental Committees and Networks Department Networks Department FR-67081 Strasbourg FR-67081 Strasbourg richard.forde@edqm.eu nevena.kojic@edqm.eu Chair ___________________________________________________ castrén Johanna Finnish Red Cross Blood Service Härkälenkki 13 FI-01730 Vantaa johanna.castren@veripalvelu.fi Vice Chair _______________________________________________ de angelis Vincenzo Italian National Blood Centre V. Giano della Bella, 27 IT-00162 Rome vincenzo.deangelis@iss.it 19 Guide to the preparation, use and quality assurance of blood components Members _______________________________________________ Albania Bosnia and Herzegovina Beqo Flutra ĐoZić Aida Ministry of Health and Social Blood Transfusion Institute of FederaProtection tion of Bosnia and Herzegovina Kavaja St 25 Cekalusa 86 AL-1001 Tirana BH-71000 Sarajevo flutra.beqo@shendetesia.gov.al aida.djozo@ztmfbih.ba Austria Bulgaria Brix-Zuleger Martina MasharoVa Nataliya Federal Ministry of Social Affairs, National Centre of Transfusion Health, Care and Consumer Haematology Protection 112 Brtaya Miladinovi Str. Radetzkystrasse 2 BG-1202 Sofia AT-1030 Vienna nathalie_54@abv.bg martina.brix-zuleger@ georgieVa hristoVa-iVanoVa gesundheitsministerium.at Elena schennach Harald National Centre of Transfusion Central Institute for Blood Transfu- Haematology sion and Dept. of Immunology (ZIB) BG-6000 Stara Zagora Tirol Kliniken e.georgieva@ncth.bg Anichstrasse 35 AT-6020 Innsbruck Croatia harald.schennach@tirol-kliniken.at VuK Tomislav Croatian Institute of Transfusion Belgium Medicine VanderZeypen Hanna Petrova 3 Federal Agency for Medicines and HR-Zagreb Health Products tomislav.vuk@hztm.hr Avenue Galilée 5/03 BE-1210 Brussels hanna.vanderzeypen@fagg-afmps.be 20 European Committee (Partial Agreement) on Blood Transfusion (CD-P-TS) Cyprus Finland argyriou Iliana castrén Johanna Nicosia general hospital Chair of the CD-P-TS – see above Cyprus Blood Establishment puoMila Anu 215 Strolovolos Finnish Medicines Agency CY-2229 Nicosia Mannerheimintie 166 iargyriou@moh.gov.cy FI-00300 Helsinki anu.puomila@fimea.fi Czech Republic tureK Petr France Thomayer Teaching Hospital Bigey Frédéric Blood Transfusion Department Etablissement français du Sang Videnskà, 800 Centre-Pays de la Loire CZ-140 59 Praha 4 50 Avenue Marcel Dassault – petr.turek@ftn.cz BP 40661 FR-37206 Tours Cedex 3 Denmark frederic.bigey@efs.sante.fr Bagge hansen Morten Rigshospitalet, University of Germany Copenhagen KretZschMar Evelyne Department of Clinical Immunology Bundesministerium für Gesundheit Copenhagen Blood Centre, 2034 Rochusstrasse 1 Blegdamsvej, 9 DE-53123 Bonn DK-2100 Copenhagen evelyne.kretzschmar@bmg.bund.de morten.bagge.hansen@regionh.dk doll Manfred sørensen Betina Paul-Ehrlich-Institut Aalborg University Hospital Paul-Ehrlich-Str. 51-59 Urbansgade 36 DE-63225 Langen DK-9000 Aalborg Manfred.Doll@pei.de betina.soerensen@rn.dk Estonia Kullaste Riin North Estonia Medical Centre’s Blood Centre 19 J.Sütiste str EE-13419 Tallinn riin.kullaste@regionaalhaigla.ee 21 Guide to the preparation, use and quality assurance of blood components Greece Italy gaFou Anthi de angelis Vincenzo AGIOI ANARGYROI General and Vice-Chair of CD-P-TS – see above Oncology Hospital, la raja Massimo Hospital Blood Bank Dipartimento di Medicina Kalyftaki, N. Kifisia Trasfusionale GR-14564 Athens Azienda Sanitaria Universitaria a.gafou@gonkhosp.gr Giuliano Isontina anthi.gafou@gmail.com Piazza Ospedale 1 dadiotis Loukas IT-34147 Trieste General Hospital of Piraeus Tzaneio massimo.laraja@asugi.sanita.fvg.it Blood Bank Latvia Leoforos Afentouli, Ke Zanni GR-18536 Piraeus pole Egita aimodosia@tzaneio.gr State Blood Donor Center, Riga Selpils Street 9 Hungary LV-1007 Riga Baróti-tóth Klára egita.pole@vadc.gov.lv Hungarian National Blood Lithuania Transfusion Service 19-21 Karolina St. naujoKaite Alvyda HU-1113 Budapest Ministry of Health of the Republic of barotine.toth.klara@ovsz.huIreland Lithuania Specialised Health Care Division Iceland Vilniaus St., 33 hjálMarsdóttir Ína Björg LT-01506 Vilnius Landspítali University Hospital alvyda.naujokaite@sam.lt The Blood Bank Luxembourg Snorrabraut 60 IS-105 Reykjavík randaZZo Enrico ina@landspitali.is National Health Directorate 20 Rue de Bitbourg Ireland LU-Luxembourg godFrey Andrew enrico.randazzo@ms.etat.lu Irish Blood Transfusion Service James’s Street IE-Dublin | D08 NH5R andrew.godfrey@ibts.ie 22 European Committee (Partial Agreement) on Blood Transfusion (CD-P-TS) Malta The Netherlands laspina Stefan orMel Paul Mater Dei Hospital Blood Bank Ministry of Health, Welfare and Sport Pathology Department, Block C Parnassusplein 5 MT-MSD 2090 Tal-Qroqq NL-2511 Den Haag stefan.laspina@gov.mt pr.ormel@minvws.nl Van shaiK Ivo Moldova Sanquin Blood Supply Foundation rosca Silvia Plesmanlaan 125 National Blood Transfusion Center NL-1066 CX Amsterdam 11 Academiei Street i.vanschaik@sanquin.nl MD-2028 Chișinau silvia.rosca@cnts.md North Macedonia Banari Doina petKoViKj Elena National Blood Transfusion Center Institute for Transfusion Medicine of 11 Academiei Street Republic of N. Macedonia MD-2028 Chișinau Mother Teresa 17 doina.banari@cnts.md MK-1000 SKOPJE banari.d@gmail.com elena.petkovic@yahoo.com ZinicoVschi Angelica Norway National Blood Transfusion Center 11 Academiei Street eriKstein Bjarte Skoe MD-2028 Chișinau Norwegian Medical Products Agency smaimcnts@gmail.com PO Box 240 Skøyen smaisah@cnts.md NO-0213 Oslo bjarte.skoe.erikstein@helse-bergen.no Montenegro Flesland Øystein rašoVić Gordana Norwegian Directorate of Health Institute for Blood Transfusion of PB 220 SKØYEN Montenegro NO-0213 OSLO Service for Testing, Processing and oeysfles@online.no Distribution of Blood Components hagerup-j enssen Ingeborg Dzona Dzeksona BB Norwegian Directorate of Health ME-81000 Podgorica Pb 220 Skøyen gordana.rasovic@ztkcg.me NO-0213 Oslo ingeborg.hagerup-jenssen@helsedir.no 23 Guide to the preparation, use and quality assurance of blood components Poland Slovak Republic radZiwon Piotr Marek rosochoVa Jana Regional Centre for Transfusion Narodna Transfuzna Sluzba SR Medicine Dumbierska 3-L Ul. M. Sklodowskiej Curie 23 SK-831 01 Bratislava PL-15-950 Bialystok jana.rosochova@ntssr.sk pradziwon@rckik.bialystok.pl Slovenia Portugal roZMan Primoz caeiro Cristina Slovenian institute for transfusion Instituto Português do Sangue e da medicine Transplantação, I.P. Slajmerjeva ulica 6 Centro de Sangue e da SI-1000 Ljubljana Transplantação de Coimbra primoz.rozman@ztm.si Rua Escola Inês Castro S. Martinho raZBorseK Irena do Bispo Slovenian institute for transfusion PT-3040-226 Coimbra medicine cristina.caeiro@ipst.min-saude.pt Slajmerjeva ulica 6 SI-1000 Ljubljana Romania irena.razborsek@ztm.si doBrota Alina Mirella Regional Blood Transfusion Centre Spain St. Nicolae lorga, nr 85 de celis MigueleZ Aránzazu Constanța County Ministry of Health RO-900587 Constanța Paseo del Prado, 18-20 alina_mirella@yahoo.com ES-28014 Madrid adecelis@sanidad.gob.es Serbia joVanoVić Ruzica Sweden Ministry of Health Republic of Serbia larsson Linda Directorate for biomedicine The National Board of Health and 22-26 Nemanjina Street Welfare RS-11000 Belgrade Rålambsvägen 3 ruzica.jovanovic@zdravlje.gov.rs SE-106 30 Stockholm linda.larsson@socialstyrelsen.se 24 European Committee (Partial Agreement) on Blood Transfusion (CD-P-TS) stroM Helena Türkiye The Swedish National Board of ertuğrul Örüç Nigar Health and Welfare Blood Transfusion Center Inspektionen for Vard och Omsorg University of Health Sciences Ralambsvagen 3 Dışkapı Yıldırım Beyazıt Training and SE-106 30 Stockholm Research Hospital helena.strom@socialstyrelsen.se TR-06110 Ankara nigarertugrul@gmail.com Switzerland engels Julia United Kingdom Swissmedic thoMas Stephen Hallerstrasse 7 UK Blood Services Joint Professional CH-3012 Bern Advisory Committee julia.engels@swissmedic.ch NHSBT Colindale aMar el-dusouqui Soraya Charcot Road Transfusion CRS Suisse SA UK-London NW9 0BG Waldeggstrasse 51 stephen.thomas@nhsbt.nhs.uk CH-3097 Liebefeld soraya.amar@blutspende.ch Observers and Participants ________________________________ Australia New Zealand pinK Joanne Morley Sarah Australian Red Cross Lifeblood New Zealand Blood Service 44 Musk Avenue 71 Great South Road, Epsom Kelvin Grove NZ-Auckland 1051 AU-Qld 4059 Stafford sarah.morley@nzblood.co.nz jpink@redcrossblood.org.au CD BIO (Human Rights and Georgia Biomedicine, Council of Europe) aValishVili Levan lwoFF Laurence The Jo Ann Medical Centre Human Rights Directorate 21 Lubliana St. Council of Europe GE-0159 Tbilisi FR-67081 Strasbourg levanavali@gmail.com laurence.lwoff@coe.int 25 Guide to the preparation, use and quality assurance of blood components CD-P-TO (Council of Europe) Marchand Els lópeZ Fraga Marta Directorate-General Health and Food Safety Secretary to the CD-P-TO European Commission European Directorate for the Quality Substances of Human Origin, DG of Medicines & HealthCare Health and Food Safety 7, Allee Kastner Froissartstraat 101 FR-67081 Strasbourg BE-1040 Brussels marta.fraga@edqm.eu els.marchand@ec.europa.eu European Commission ECDC Van der speigel Stefaan Directorate-General Health and Food Mohseni sKoglund Jenny STI, Blood Borne Viruses and TB, DPR Safety European Centre for Disease European Commission Prevention and Control (ECDC) Substances of Human Origin, DG Gustav III:s Boulevard 40 Health and Food Safety SE-169 73 Solna Froissartstraat 101 Jenny.MohseniSkoglund@ecdc. BE-1040 Brussels europa.eu stefaan.van-der-spiegel@ec.europa.eu piteira Rita EMA Directorate-General Health and Food VoltZ Caroline Safety Oncology and Haematology Office European Commission European Medicines Agency Substances of Human Origin, DG caroline.voltz@ema.europa.eu Health and Food Safety Froissartstraat 101 WHO BE-1040 Brussels rita.piteira@ec.europa.eu yu Junping Blood and other products of human origin World Health Organization CH-Geneva yuj@who.int 26 Members of the ad hoc GTS working group for the elaboration of the 22nd Edition of the Guide to the preparation, use and quality assurance of blood components Secretariat ______________________________________________ gruBoVic rastVorceVa Rada Milos Busic Mirela European Directorate for the Quality European Directorate for the Quality of Medicines & HealthCare of Medicines & HealthCare Intergovernmental Committees and Intergovernmental Committees and Networks Department Networks Departmen FR-67081 Strasbourg FR-67081 Strasbourg rada.grubovic@edqm.eu mirela.busic@edqm.eu Kojic Nevena Forde Richard European Directorate for the Quality European Directorate for the Quality of Medicines & HealthCare of Medicines & HealthCare Intergovernmental Committees and Intergovernmental Committees and Networks Department Networks Department FR-67081 Strasbourg FR-67081 Strasbourg nevena.kojic@edqm.eu richard.forde@edqm.eu Chair ___________________________________________________ sørensen Betina Aalborg University Hospital Urbansgade 36 DK-9000 Aalborg betina.soerensen@rn.dk 27 Guide to the preparation, use and quality assurance of blood components Members _______________________________________________ argyriou Iliana coMpernolle Veerle Nicosia general hospital Ghent University Hospital Cyprus Blood Establishment Corneel Heymanslaan 10 215 Strolovolos BE-9000 Ghent CY-2229 Nicosia veerle.compernolle@uzgent.be iargyriou@moh.gov.cy doBrota Alina Mirella Baróti-t óth Klára Regional Blood Transfusion Centre Hungarian National Blood Transfu- St. Nicolae lorga, nr 85 sion Service Constanța County 19-21 Karolina St. RO-900587 Constanța HU-1113 Budapest alina_mirella@yahoo.com barotine.toth.klara@ovsz.hu ertuğrul Örüç Nigar Bigey Frédéric Blood Transfusion Center Établissement Français du Sang University of Health Sciences Centre-Pays de la Loire Dışkapı Yıldırım Beyazıt Training and 50 Avenue Marcel Dassault – Research Hospital BP 40661 TR-06110 Ankara FR-37206 Tours Cedex 3 nigarertugrul@gmail.com frederic.bigey@efs.sante.fr eVans Ryan castrén Johanna Scottish National Blood Transfusion Finnish Red Cross Blood Service Service Härkälenkki 13 The Jack Copland Centre FI-01730 Vantaa 52 Research Avenue North johanna.castren@veripalvelu.fi UK-Edinburgh,EH14 4BE caeiro Cristina Ryan.Evans@nhs.scot Instituto Português do Sangue e da Flesland Øystein Transplantação, I.P. Norwegian Directorate of Health Centro de Sangue e da PB 220 Skøyen Transplantação de Coimbra NO-0213 Oslo Rua Escola Inês Castro S. Martinho oeysfles@online.no do Bispo PT-3040-226 Coimbra cristina.caeiro@ipst.min-saude.pt 28 Members of the ad hoc GTS working group Fontana Stefano larrea Luis Interregionale Blutspende SRK AG Centro De Transfusion De La Murtenstrasse 133 Comunidad Valenciana CH-3008 Bern Avenida Del Cid 65 Fondazione Servizio Trasfusionale ES-46014 Valencia CRS della Svizzera Italiana larrea_lui@gva.es Via Tesserete 50 larsson Linda CH-6900 Lugano The National Board of Health and stefano.fontana@itransfusion.ch Welfare illoh Orieji Rålambsvägen 3 Office of Blood Research Review SE-106 30 Stockholm Center for Biologics Evaluation and linda.larsson@socialstyrelsen.se Research Megessier Pascal Food and Drug Administration French National Agency for Medi10903 New Hampshire Ave., cines and Health Products Safety WO71 4248 143/147, boulevard Anatole France US-Silver Spring, MD 20993-0002 FR-93285 Saint-Denis Cedex orieji.illoh@fda.hhs.gov pascal.megessier@ansm.sante.fr KaMMer Winfried Morley Sarah Paul-Ehrlich-Institut New Zealand Blood Service Paul-Ehrlich-Strasse 51-59 71 Great South Road, Epsom DE-63225 Langen NZ-Auckland winfried.kammer@pei.de sarah.morley@nzblood.co.nz thoMas Klei naujoKaite Alvyda Manager Product en Proces Ministry of Health of the Republic of Ontwikkeling (PPO) Lithuania Sanquin Bloedvoorziening Specialised Health Care Division Plesmanlaan 125 Vilniaus St., 33 NL-1066 CX Amsterdam LT-01506 Vilnius t.klei@sanquin.nl alvyda.naujokaite@sam.lt la raja Massimo new Helen Dipartimento di Medicina NHS Blood and Transplant Trasfusionale Charcot Road Azienda Sanitaria Universitaria UK-London NW9 5BG Giuliano Isontina helen.new@nhsbt.nhs.uk Piazza Ospedale 1 IT-34147 Trieste massimo.laraja@asugi.sanita.fvg.it 29 Guide to the preparation, use and quality assurance of blood components Ó donghaile Diarmaid rosochoVa Jana Irish Blood Transfusion Service Narodna Transfuzna Sluzba SR National Blood Centre Ďumbierska 3L James’s Street SK-831 01 Bratislava IE-Dublin 8 jana.rosochova@ntssr.sk diarmaid.odonghaile@ibts.ie schärer Christian pinK Joanne Swissmedic Australian Red Cross Blood Service Hallerstrasse 7 44 Musk Avenue CH-3012 Bern AU-Stafford QLD, 4059 christian.schaerer@swissmedic.ch jpink@redcrossblood.org.au schennach Harald politis Constantina Central Institute for Blood TransfuNational Public Health Organization sion and Dept. of Immunology (ZIB) (NPHO) Tirol Kliniken 3-5 Agrafon Str Anichstrasse 35 GR-15123 Athens AT-6020 Innsbruck cpolitis11@yahoo.gr harald.schennach@tirol-kliniken.at radZiwon Piotr Marek storry Jill Regional Centre for Transfusion Region Skåne_Office for Medical Medicine Services Ul. M. Sklodowskiej Curie 23 Clinical Immunology and Transfusion PL-15-950 Bialystok Medicine pradziwon@rckik.bialystok.pl Akutgatan 8 ŘeháčeK Vít SE-22185 Lund jill.storry@skane.se Transfusion Department University Hospital Hradec Králové VuK Tomislav Sokolská str. 581 Croatian Institute of Transfusion CZ-500 05 Hradec Králové Medicine rehacekv@lfhk.cuni.cz Petrova 3 HR-10000 Zagreb tomislav.vuk@hztm.hr 30 Recommendation No. R (95) 15 of the Committee of Ministers to member states on the preparation, use and quality assurance of blood components (Adopted by the Committee of Ministers on 12 October 1995 at the 545th meeting of the Ministers’ Deputies) The Committee of Ministers, under the terms of Article"
4.1.14.,"Inventory records must be retained for a period acceptable to and agreed with the competent authority (Directive 2005/62/EC, Annex"
4.2.16.,"Data should be secured by both physical and electronic means against damage. Stored data should be checked for accessibility, readability and accuracy. Access to data should be ensured throughout the retention period."
4.2.19.,"Management systems for data and for documents should be designed to record the identity of operators entering, changing, confirming or deleting data, and the date and time."
4.2.21.3.,include the time and date that they were applied.
4.3.5.2.,"Where requalification is necessary and performed over a specific time period, the period should be justified and the criteria for evaluation defined. Furthermore, the possibility of small changes over time should be assessed."
5.3.2.,"A document control system, defined in a written procedure, should be established for the review, revision history and archiving of documents, including SOPs. Appropriate controls for electronic documents, such as templates, forms and master documents, should be implemented. Appropriate controls should be in place to ensure the integrity of the record throughout the retention period."
5.3.4.,"Documents containing instructions should be approved, signed and dated by appropriate and authorised persons. This may also be undertaken electronically. Documents should have unambiguous content and be uniquely identifiable. The effective date should be defined."
5.5.1.,"It should be clearly defined which record is related to each activity and where this record is located. Secure controls should be in place to ensure the integrity of the record throughout the retention period. These controls should be validated, if appropriate."
5.5.2.1.,"Records should be retained for a period according to local, national or EU requirements, as appropriate."
